ImageName,Aperture,Binning,PixelFormat,ExposureTime,VID,NDFilter,ColorFilter,LightSource,Scale
R_solid_5_X,3mm,FOUR_BY_FOUR,MLMono12,166.662,-4663.89,ND0,X,R,nan
R_solid_5_Y,3mm,FOUR_BY_FOUR,MLMono12,332.45,-4663.89,ND0,Y,R,nan
R_solid_5_Z,3mm,FOUR_BY_FOUR,MLMono12,99.9992,-4663.89,ND0,Z,R,nan
R_crosshair_5_Clear,3mm,ONE_BY_ONE,MLMono12,287.73,-4663.89,ND0,Clear,R,nan
R_checkerPositive_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,104.169,-4663.89,ND0,Clear,R,nan
R_checkerNegative_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,110.368,-4663.89,ND0,Clear,R,nan
R_grid_5_Clear,3mm,ONE_BY_ONE,MLMono12,279.14,-4663.89,ND0,Clear,R,nan
R_checker0.5Deg_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,112.478,-4663.89,ND0,Clear,R,nan
R_checker0.5Deg_offsetPos_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,114.397,-4663.89,ND0,Clear,R,nan
R_checker0.5Deg_offsetNeg_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,107.836,-4663.89,ND0,Clear,R,nan
G_solid_5_X,3mm,FOUR_BY_FOUR,MLMono12,1000,-4663.89,ND0,X,G,nan
G_solid_5_Y,3mm,FOUR_BY_FOUR,MLMono12,244.708,-4663.89,ND0,Y,G,nan
G_solid_5_Z,3mm,FOUR_BY_FOUR,MLMono12,4075.36,-4663.89,ND0,Z,G,nan
G_crosshair_5_Clear,3mm,ONE_BY_ONE,MLMono12,499.996,-4663.89,ND0,Clear,G,nan
G_checkerPositive_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,166.662,-4663.89,ND0,Clear,G,nan
G_checkerNegative_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,192.051,-4663.89,ND0,Clear,G,nan
G_flare_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,332.148,-4663.89,ND0,Clear,G,nan
G_flare_high_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,6642.97,-4663.89,ND0,Clear,G,nan
G_ghost_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,166.662,-4663.89,ND0,Clear,G,nan
G_ghost_high_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,3333.24,-4663.89,ND0,Clear,G,nan
G_grid_5_Clear,3mm,ONE_BY_ONE,MLMono12,431.826,-4663.89,ND0,Clear,G,nan
G_checker0.5Deg_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,193.829,-4663.89,ND0,Clear,G,nan
G_checker0.5Deg_offsetPos_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,197.406,-4663.89,ND0,Clear,G,nan
G_checker0.5Deg_offsetNeg_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,166.662,-4663.89,ND0,Clear,G,nan
B_solid_5_X,3mm,FOUR_BY_FOUR,MLMono12,2176.96,-4663.89,ND0,X,B,nan
B_solid_5_Y,3mm,FOUR_BY_FOUR,MLMono12,7132.42,-4663.89,ND0,Y,B,nan
B_solid_5_Z,3mm,FOUR_BY_FOUR,MLMono12,622.762,-4663.89,ND0,Z,B,nan
B_crosshair_5_Clear,3mm,ONE_BY_ONE,MLMono12,1642.17,-4663.89,ND0,Clear,B,nan
B_checkerPositive_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,499.996,-4663.89,ND0,Clear,B,nan
B_checkerNegative_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,499.996,-4663.89,ND0,Clear,B,nan
B_grid_5_Clear,3mm,ONE_BY_ONE,MLMono12,1273.72,-4663.89,ND0,Clear,B,nan
B_checker0.5Deg_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,579.82,-4663.89,ND0,Clear,B,nan
B_checker0.5Deg_offsetPos_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,499.996,-4663.89,ND0,Clear,B,nan
B_checker0.5Deg_offsetNeg_5_Clear,3mm,FOUR_BY_FOUR,MLMono12,499.996,-4663.89,ND0,Clear,B,nan
